DATETIME_ID,Date,province,eNodeB,IPTHP_DL,IPTHP_UL
2022062700,27/06/2022,Tp Ho Chi Minh,H01020,9027.74,3723.34
2022072700,27/07/2022,Tp Ho Chi Minh,H01020,9720.66,3798.73
2022042800,28/04/2022,Tp Ho Chi Minh,H01020,12530.9,1134.1
2022052800,28/05/2022,Tp Ho Chi Minh,H01020,21316.69,1034.12
2022062800,28/06/2022,Tp Ho Chi Minh,H01020,7148.23,3647.89
2022072800,28/07/2022,Tp Ho Chi Minh,H01020,10457.5,3105.79
2022042900,29/04/2022,Tp Ho Chi Minh,H01020,14398.14,1407.66
2022052900,29/05/2022,Tp Ho Chi Minh,H01020,25072.33,1020.02
2022062900,29/06/2022,Tp Ho Chi Minh,H01020,8840.77,3656.63
2022072900,29/07/2022,Tp Ho Chi Minh,H01020,10386.63,3927.76
2022043000,30/04/2022,Tp Ho Chi Minh,H01020,29773.96,2294.86
2022053000,30/05/2022,Tp Ho Chi Minh,H01020,10002.42,897.09
2022063000,30/06/2022,Tp Ho Chi Minh,H01020,8703.53,3513.44
2022073000,30/07/2022,Tp Ho Chi Minh,H01020,11127.75,4563.96
2022053100,31/05/2022,Tp Ho Chi Minh,H01020,10139.04,826.08
2022073100,31/07/2022,Tp Ho Chi Minh,H01020,12500.66,4319.25
